state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
37800	0.004	0.004	0.004	0	23	0.085	0.021	3.946	29.65	-1139.54	0.00	-8.45
37900	0.005	0.005	0.005	0	29	0.066	0.018	4.079	28.49	-1139.77	0.00	0.00
38000	0.005	0.005	0.005	0	24	0.066	0.013	3.858	29.80	-1139.58	0.00	-8.18
38100	0.004	0.004	0.004	0	25	0.060	0.021	4.017	31.87	-1139.62	-0.04	0.00
38200	0.005	0.005	0.005	0	24	0.078	0.021	4.017	37.43	-1139.58	0.00	-8.10
38300	0.004	0.004	0.004	0	21	0.086	0.021	3.955	36.24	-1139.45	-0.05	0.00
38400	0.005	0.005	0.005	0	21	0.080	0.029	4.068	35.77	-1139.45	0.05	0.00
38500	0.005	0.005	0.005	0	21	0.054	0.029	4.068	34.85	-1139.45	0.00	-8.09
38600	0.004	0.004	0.004	0	18	0.144	0.011	4.068	33.57	-1139.29	-0.06	0.00
38700	0.003	0.003	0.003	0	20	0.152	0.037	4.068	39.48	-1139.40	0.05	0.00
38800	0.003	0.003	0.003	0	18	0.172	0.037	4.068	38.62	-1139.29	-0.01	0.00
38900	0.005	0.005	0.005	0	17	0.104	0.037	4.068	36.74	-1139.23	0.00	0.00
39000	0.004	0.004	0.004	0	23	0.146	0.035	4.068	34.65	-1139.54	-0.00	0.00
39100	0.003	0.003	0.003	0	25	0.058	0.049	4.059	33.01	-1139.62	0.04	0.00
39200	0.002	0.002	0.002	0	26	0.096	0.063	4.059	28.61	-1139.66	0.00	0.00
39300	0.003	0.003	0.003	0	23	0.074	0.091	4.059	29.18	-1139.54	0.00	0.00
39400	0.005	0.005	0.005	0	19	0.078	0.058	4.059	31.92	-1139.35	0.05	0.00
39500	0.007	0.007	0.007	0	14	0.130	0.058	4.059	34.38	-1139.04	0.00	-7.89
39600	0.003	0.003	0.003	0	16	0.139	0.058	4.059	34.71	-1139.17	0.00	0.00
39700	0.003	0.003	0.003	0	11	0.215	0.058	4.059	39.19	-1138.80	0.00	-8.75
39800	0.005	0.005	0.005	0	12	0.248	0.054	4.059	36.87	-1138.89	0.00	-8.24
39900	0.006	0.006	0.006	0	10	0.173	0.048	4.080	35.59	-1138.70	-0.00	0.00
40000	0.006	0.006	0.006	0	7	0.147	0.048	4.080	34.00	-1138.35	0.00	-7.93
40100	0.004	0.004	0.004	0	12	0.132	0.043	3.967	31.28	-1138.89	0.00	0.00
40200	0.005	0.005	0.005	0	9	0.328	0.028	3.967	36.83	-1138.60	-0.11	0.00
40300	0.009	0.009	0.009	0	11	0.345	0.028	3.967	31.70	-1138.80	-0.10	0.00
40400	0.006	0.006	0.006	0	8	0.188	0.026	3.967	35.73	-1138.48	0.00	-0.46
40500	0.007	0.007	0.007	0	9	1.377	0.016	3.967	32.05	-1138.61	0.00	0.00
40600	0.006	0.006	0.006	0	10	1.997	0.016	3.967	31.27	-1138.72	0.00	-7.92
40700	0.008	0.008	0.008	0	5	3.683	0.014	3.967	30.47	-1138.03	0.00	0.00
40800	0.011	0.011	0.011	0	5	0.965	0.011	3.967	29.91	-1138.02	0.22	0.00
40900	0.009	0.009	0.009	0	4	0.984	0.011	3.967	32.84	-1137.79	-0.00	0.00
41000	0.009	0.009	0.009	0	7	0.169	0.008	3.967	30.43	-1138.35	0.00	0.00
41100	0.006	0.006	0.006	0	10	0.138	0.007	3.989	27.95	-1138.70	0.00	-0.28
41200	0.008	0.008	0.008	0	5	0.286	0.011	3.989	32.18	-1138.01	0.00	0.00
41300	0.008	0.008	0.008	0	6	2.183	0.011	3.989	28.08	-1138.21	0.00	0.00
41400	0.008	0.008	0.008	0	5	0.179	0.012	3.989	33.41	-1138.01	-0.18	0.00
41500	0.007	0.007	0.007	0	4	0.188	0.012	3.866	33.10	-1137.79	0.29	0.00
41600	0.009	0.009	0.009	0	6	0.218	0.019	4.014	30.98	-1138.19	0.00	0.00
41700	0.012	0.012	0.012	0	7	0.210	0.015	3.936	28.29	-1138.35	-0.00	0.00
41800	0.005	0.005	0.005	0	6	0.958	0.017	3.936	30.64	-1138.20	0.00	0.00
41900	0.007	0.007	0.007	0	6	1.001	0.024	3.936	30.97	-1138.20	0.00	0.00
42000	0.008	0.008	0.008	0	8	0.964	0.017	3.876	29.88	-1138.49	0.13	0.00
42100	0.006	0.006	0.006	0	9	0.283	0.017	3.876	31.96	-1138.60	-0.11	0.00
42200	0.009	0.009	0.009	0	9	0.508	0.031	3.876	29.34	-1138.60	0.00	-7.62
42300	0.009	0.009	0.009	0	5	0.234	0.031	3.876	31.72	-1138.01	0.00	0.00
